periodo;codigo;nome;turma;siape;horário;matricula;nota;situação
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001404;-;EXCLUIDA
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001404;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001404;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001404;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001404;6.80;APROVADO POR NOTA
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180001342;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001342;-;DESISTENCIA
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001342;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001342;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001342;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001342;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180001683;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001683;-;DESISTENCIA
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001683;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001683;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001683;6.50;APROVADO POR NOTA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001683;7.30;APROVADO
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180001923;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001923;-;DESISTENCIA
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001923;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001923;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001923;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001923;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180001825;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001825;-;DESISTENCIA
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001825;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001825;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001825;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001825;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180001164;-;DESISTENCIA
