"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57627249";"02";"5752305";;;"57607";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-15";"35T34 (30/07/2018 - 15/12/2018)";"155";"110";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627249";"02";"5752169";;;"57607";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-15";"35T34 (30/07/2018 - 15/12/2018)";"155";"110";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627250";"03";"5752245";;;"57607";"GRADUAÇÃO";"Campus Central";"Sala 8";"2018";"2";"2018-07-30";"2018-12-15";"24N34 (30/07/2018 - 15/12/2018)";"38";"50";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627251";"04";"5752720";;;"57607";"GRADUAÇÃO";"Campus Central";"Sala 1";"2018";"2";"2018-07-30";"2018-12-15";"24N12 (30/07/2018 - 15/12/2018)";"90";"100";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627251";"04";"5752169";;;"57607";"GRADUAÇÃO";"Campus Central";"Sala 1";"2018";"2";"2018-07-30";"2018-12-15";"24N12 (30/07/2018 - 15/12/2018)";"90";"100";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627253";"01A";"5760234";;;"57627";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-22";"35T56 (30/07/2018 - 03/11/2018), 24M12 (04/11/2018 - 22/12/2018)";"22";"25";"REGULAR";"false";;"false";"57627252";;"ABERTA";;"Presencial"
"57627253";"01A";"5757120";;;"57627";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-22";"35T56 (30/07/2018 - 03/11/2018), 24M12 (04/11/2018 - 22/12/2018)";"22";"25";"REGULAR";"false";;"false";"57627252";;"ABERTA";;"Presencial"
"57627254";"01B";"5760234";;;"57627";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-22";"35T56 (30/07/2018 - 03/11/2018), 24M34 (04/11/2018 - 22/12/2018)";"35";"35";"REGULAR";"false";;"false";"57627252";;"ABERTA";;"Presencial"
"57627254";"01B";"5757120";;;"57627";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-22";"35T56 (30/07/2018 - 03/11/2018), 24M34 (04/11/2018 - 22/12/2018)";"35";"35";"REGULAR";"false";;"false";"57627252";;"ABERTA";;"Presencial"
"57627256";"02A";"5757120";;;"57627";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-22";"35T12 (30/07/2018 - 03/11/2018), 35M34 (04/11/2018 - 22/12/2018)";"32";"35";"REGULAR";"false";;"false";"57627255";;"ABERTA";;"Presencial"
"57627257";"02B";"5757120";;;"57627";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-22";"35T12 (30/07/2018 - 03/11/2018), 35M56 (04/11/2018 - 22/12/2018)";"62";"40";"REGULAR";"false";;"false";"57627255";;"ABERTA";;"Presencial"
"57627259";"03A";"5760234";;;"57627";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-22";"2N1234 (30/07/2018 - 03/11/2018),  2N1234 (04/11/2018 - 22/12/2018)";"101";"40";"REGULAR";"false";;"false";"57627258";;"ABERTA";;"Presencial"
"57627260";"03B";"5760234";;;"57627";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-22";"2N1234 (30/07/2018 - 03/11/2018),  7T1234 (04/11/2018 - 22/12/2018)";"28";"30";"REGULAR";"false";;"false";"57627258";;"ABERTA";;"Presencial"
"57627262";"04A";"5757845";;;"57627";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-22";"4N1234 (30/07/2018 - 03/11/2018),  4N1234 (04/11/2018 - 22/12/2018)";"47";"40";"REGULAR";"false";;"false";"57627261";;"ABERTA";;"Presencial"
"57627263";"04B";"5757845";;;"57627";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-22";"4N1234 (30/07/2018 - 03/11/2018),  46T56 (04/11/2018 - 22/12/2018)";"9";"20";"REGULAR";"false";;"false";"57627261";;"ABERTA";;"Presencial"
"57627265";"01A";"5757550";;;"63331";"GRADUAÇÃO";"Campus Central";"Lab.Info";"2018";"2";"2018-07-30";"2018-12-22";"24N12 (30/07/2018 - 22/12/2018)";"55";"28";"REGULAR";"false";;"false";"57627264";;"ABERTA";;"Presencial"
"57627266";"01";"5753317";;;"62827";"GRADUAÇÃO";"Campus Central";"Lab.Info";"2018";"2";"2018-07-30";"2018-12-22";"3T12 (30/07/2018 - 22/12/2018)";"68";"20";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627267";"01";"5752983";;;"60885";"GRADUAÇÃO";"Campus Central";"Lab. Info";"2018";"2";"2018-07-30";"2018-12-22";"46T34 (30/07/2018 - 22/12/2018)";"25";"22";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627268";"01";"5753852";;;"60879";"GRADUAÇÃO";"Campus Central";"Lab.Info";"2018";"2";"2018-07-30";"2018-12-22";"6M3456 (30/07/2018 - 22/12/2018)";"35";"22";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627268";"01";"5756344";;;"60879";"GRADUAÇÃO";"Campus Central";"Lab.Info";"2018";"2";"2018-07-30";"2018-12-22";"6M3456 (30/07/2018 - 22/12/2018)";"35";"22";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627270";"01A";"5757788";;;"61366";"GRADUAÇÃO";"Campus Central";"Lab.Info";"2018";"2";"2018-07-30";"2018-12-22";"24T34 (30/07/2018 - 22/12/2018)";"41";"26";"REGULAR";"false";;"false";"57627269";;"ABERTA";;"Presencial"
"57627271";"01";"5752245";;;"57622";"GRADUAÇÃO";"Campus Central";"Sala 7";"2018";"2";"2018-07-30";"2018-12-22";"26T34 (30/07/2018 - 22/12/2018)";"11";"10";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
