Período;Código;Nome;Turma;Siape;Horário;Matrícula;Nota;Situação
2;ECT2101;PRÉ-CÁLCULO;1;2646069-8;2356T12 (22/07/2019 - 21/09/2019);20190148320;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2571630-3;25T34 (22/07/2019 - 07/12/2019);20190148320;-;EXCLUIDA
2;ECT2103;CÁLCULO I;1;2196137-1;2356T12 (23/09/2019 - 07/12/2019);20190148320;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;01A;3432383-1,1481705-7;2M12  36T34 (22/07/2019 - 07/12/2019);20190148320;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (22/07/2019 - 07/12/2019);20190148320;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190148320;7.80;APROVADO
2;ECT2101;PRÉ-CÁLCULO;1;2646069-8;2356T12 (22/07/2019 - 21/09/2019);20190148348;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2571630-3;25T34 (22/07/2019 - 07/12/2019);20190148348;-;EXCLUIDA
2;ECT2103;CÁLCULO I;1;2196137-1;2356T12 (23/09/2019 - 07/12/2019);20190148348;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;01A;3432383-1,1481705-7;2M12  36T34 (22/07/2019 - 07/12/2019);20190148348;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (22/07/2019 - 07/12/2019);20190148348;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190148348;-;EXCLUIDA
2;ECT2101;PRÉ-CÁLCULO;1;2646069-8;2356T12 (22/07/2019 - 21/09/2019);20190148366;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2571630-3;25T34 (22/07/2019 - 07/12/2019);20190148366;-;EXCLUIDA
2;ECT2103;CÁLCULO I;1;2196137-1;2356T12 (23/09/2019 - 07/12/2019);20190148366;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;01A;3432383-1,1481705-7;2M12  36T34 (22/07/2019 - 07/12/2019);20190148366;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (22/07/2019 - 07/12/2019);20190148366;8.10;APROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190148366;7.80;APROVADO
2;ECT2101;PRÉ-CÁLCULO;4;2998751-4;2356N34 (22/07/2019 - 21/09/2019);20190148384;7.70;APROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1674079-5;25N12 (22/07/2019 - 07/12/2019);20190148384;-;EXCLUIDA
2;ECT2103;CÁLCULO I;4;6350665-5;2356N34 (23/09/2019 - 07/12/2019);20190148384;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;04A;2276334-3,1481705-7;7M12  36N12 (22/07/2019 - 07/12/2019);20190148384;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (22/07/2019 - 07/12/2019);20190148384;6.90;APROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1753033-6;4N12 (22/07/2019 - 07/12/2019);20190148384;8.30;APROVADO
2;ECT2101;PRÉ-CÁLCULO;4;2998751-4;2356N34 (22/07/2019 - 21/09/2019);20190148400;-;DESISTENCIA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1674079-5;25N12 (22/07/2019 - 07/12/2019);20190148400;-;DESISTENCIA
2;ECT2103;CÁLCULO I;4;6350665-5;2356N34 (23/09/2019 - 07/12/2019);20190148400;-;DESISTENCIA
2;ECT2104;QUÍMICA GERAL;04A;1481705-7,2276334-3;7M12  36N12 (22/07/2019 - 07/12/2019);20190148400;-;DESISTENCIA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (22/07/2019 - 07/12/2019);20190148400;-;DESISTENCIA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1753033-6;4N12 (22/07/2019 - 07/12/2019);20190148400;-;DESISTENCIA
2;ECT2101;PRÉ-CÁLCULO;1;2646069-8;2356T12 (22/07/2019 - 21/09/2019);20190148428;7.00;APROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2571630-3;25T34 (22/07/2019 - 07/12/2019);20190148428;5.30;APROVADO POR NOTA
2;ECT2103;CÁLCULO I;1;2196137-1;2356T12 (23/09/2019 - 07/12/2019);20190148428;6.00;APROVADO POR NOTA
