Período;Código;Nome;Turma;Siape;Horário;Matrícula;Nota;Situação
2;ECT2104;QUÍMICA GERAL;06A;1523912-0,1481705-7,3143826-3,3432383-1;3T56  36N34 (22/07/2019 - 07/12/2019);20190133621;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;6;3891450-8;4N12 (22/07/2019 - 07/12/2019);20190133621;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;6;3058487-8;4N34 (22/07/2019 - 07/12/2019);20190133621;-;EXCLUIDA
2;ECT2101;PRÉ-CÁLCULO;6;1879244-0;2356N12 (22/07/2019 - 21/09/2019);20190134988;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;6;2565098-1;25N34 (22/07/2019 - 07/12/2019);20190134988;1.30;REPROVADO
2;ECT2103;CÁLCULO I;6;1672787-0;2356N12 (23/09/2019 - 07/12/2019);20190134988;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;06A;3143826-3,3432383-1,1523912-0,1481705-7;3T56  36N34 (22/07/2019 - 07/12/2019);20190134988;1.80;REPROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;6;3891450-8;4N12 (22/07/2019 - 07/12/2019);20190134988;6.00;APROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;6;3058487-8;4N34 (22/07/2019 - 07/12/2019);20190134988;3.70;REPROVADO
2;ECT2101;PRÉ-CÁLCULO;6;1879244-0;2356N12 (22/07/2019 - 21/09/2019);20190133603;-;TRANCADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;6;2565098-1;25N34 (22/07/2019 - 07/12/2019);20190133603;-;TRANCADO
2;ECT2103;CÁLCULO I;6;1672787-0;2356N12 (23/09/2019 - 07/12/2019);20190133603;-;TRANCADO
2;ECT2104;QUÍMICA GERAL;06A;3143826-3,1481705-7,1523912-0,3432383-1;3T56  36N34 (22/07/2019 - 07/12/2019);20190133603;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;6;3891450-8;4N12 (22/07/2019 - 07/12/2019);20190133603;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;6;3058487-8;4N34 (22/07/2019 - 07/12/2019);20190133603;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2101;PRÉ-CÁLCULO;6;1879244-0;2356N12 (22/07/2019 - 21/09/2019);20190072910;1.40;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;6;2565098-1;25N34 (22/07/2019 - 07/12/2019);20190072910;7.90;APROVADO
2;ECT2103;CÁLCULO I;6;1672787-0;2356N12 (23/09/2019 - 07/12/2019);20190072910;5.90;APROVADO POR NOTA
2;ECT2104;QUÍMICA GERAL;06A;3143826-3,1523912-0,1481705-7,3432383-1;3T56  36N34 (22/07/2019 - 07/12/2019);20190072910;1.50;REPROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;6;3891450-8;4N12 (22/07/2019 - 07/12/2019);20190072910;5.60;APROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;6;3058487-8;4N34 (22/07/2019 - 07/12/2019);20190072910;6.10;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;6;1879244-0;2356N12 (22/07/2019 - 21/09/2019);20190082362;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;6;2565098-1;25N34 (22/07/2019 - 07/12/2019);20190082362;8.10;APROVADO
2;ECT2103;CÁLCULO I;6;1672787-0;2356N12 (23/09/2019 - 07/12/2019);20190082362;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;06A;1481705-7,3432383-1,3143826-3,1523912-0;3T56  36N34 (22/07/2019 - 07/12/2019);20190082362;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;6;3891450-8;4N12 (22/07/2019 - 07/12/2019);20190082362;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;6;3058487-8;4N34 (22/07/2019 - 07/12/2019);20190082362;-;EXCLUIDA
2;ECT2101;PRÉ-CÁLCULO;6;1879244-0;2356N12 (22/07/2019 - 21/09/2019);20190139222;4.60;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;6;2565098-1;25N34 (22/07/2019 - 07/12/2019);20190139222;7.10;APROVADO
2;ECT2103;CÁLCULO I;6;1672787-0;2356N12 (23/09/2019 - 07/12/2019);20190139222;7.50;APROVADO
2;ECT2104;QUÍMICA GERAL;06A;3143826-3,1481705-7,1523912-0,3432383-1;3T56  36N34 (22/07/2019 - 07/12/2019);20190139222;3.20;REPROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;6;3891450-8;4N12 (22/07/2019 - 07/12/2019);20190139222;6.20;APROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;6;3058487-8;4N34 (22/07/2019 - 07/12/2019);20190139222;6.10;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;6;1879244-0;2356N12 (22/07/2019 - 21/09/2019);20190133505;0.80;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;6;2565098-1;25N34 (22/07/2019 - 07/12/2019);20190133505;0.70;REPROVADO
2;ECT2103;CÁLCULO I;6;1672787-0;2356N12 (23/09/2019 - 07/12/2019);20190133505;0.00;REPROVADO
2;ECT2104;QUÍMICA GERAL;06A;3432383-1,1481705-7,1523912-0,3143826-3;3T56  36N34 (22/07/2019 - 07/12/2019);20190133505;0.60;REPROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;6;3891450-8;4N12 (22/07/2019 - 07/12/2019);20190133505;7.10;APROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;6;3058487-8;4N34 (22/07/2019 - 07/12/2019);20190133505;6.20;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190077694;1.20;CANCELADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190077694;0.70;CANCELADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190077694;0.00;CANCELADO
2;ECT2104;QUÍMICA GERAL;03A;1481705-7,3143826-3,2275848-0,1523912-0;5M12  36T12 (22/07/2019 - 07/12/2019);20190077694;2.70;CANCELADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190077694;4.60;CANCELADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190077694;3.80;CANCELADO
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190084367;-;DESISTENCIA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190084367;-;DESISTENCIA
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190084367;-;DESISTENCIA
2;ECT2104;QUÍMICA GERAL;03A;1481705-7,2275848-0,1523912-0,3143826-3;5M12  36T12 (22/07/2019 - 07/12/2019);20190084367;-;TRANCADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190084367;-;DESISTENCIA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190084367;-;DESISTENCIA
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190113880;0.20;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190113880;1.00;REPROVADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190113880;0.70;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2104;QUÍMICA GERAL;03A;3143826-3,1523912-0,1481705-7,2275848-0;5M12  36T12 (22/07/2019 - 07/12/2019);20190113880;2.30;REPROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190113880;7.20;APROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190113880;7.50;APROVADO
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190112864;1.00;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190112864;1.80;REPROVADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190112864;1.30;REPROVADO
2;ECT2104;QUÍMICA GERAL;03A;2275848-0,1523912-0,3143826-3,1481705-7;5M12  36T12 (22/07/2019 - 07/12/2019);20190112864;5.00;APROVADO POR NOTA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190112864;7.10;APROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190112864;7.00;APROVADO
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190085201;0.20;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190085201;0.80;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190085201;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2104;QUÍMICA GERAL;03A;1523912-0,1481705-7,2275848-0,3143826-3;5M12  36T12 (22/07/2019 - 07/12/2019);20190085201;0.20;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190085201;1.60;REPROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190085201;5.00;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190085186;5.60;APROVADO POR NOTA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190085186;4.00;REPROVADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190085186;2.00;REPROVADO
2;ECT2104;QUÍMICA GERAL;03A;1523912-0,3143826-3,2275848-0,1481705-7;5M12  36T12 (22/07/2019 - 07/12/2019);20190085186;7.10;APROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190085186;8.00;APROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190085186;8.40;APROVADO
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190085168;2.00;CANCELADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190085168;0.00;CANCELADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190085168;-;CANCELADO
2;ECT2104;QUÍMICA GERAL;03A;3143826-3,2275848-0,1481705-7,1523912-0;5M12  36T12 (22/07/2019 - 07/12/2019);20190085168;0.70;CANCELADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190085168;0.00;CANCELADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190085168;1.80;CANCELADO
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190085041;1.20;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190085041;1.50;REPROVADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190085041;0.00;REPROVADO
2;ECT2104;QUÍMICA GERAL;03A;2275848-0,1523912-0,3143826-3,1481705-7;5M12  36T12 (22/07/2019 - 07/12/2019);20190085041;2.60;REPROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190085041;6.60;APROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190085041;5.90;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190085005;1.00;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190085005;2.20;REPROVADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190085005;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2104;QUÍMICA GERAL;03A;1481705-7,3143826-3,1523912-0,2275848-0;5M12  36T12 (22/07/2019 - 07/12/2019);20190085005;5.00;APROVADO POR NOTA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190085005;2.20;REPROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190085005;5.30;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190084920;-;CANCELADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190084920;-;CANCELADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190084920;-;CANCELADO
2;ECT2104;QUÍMICA GERAL;03A;1523912-0,3143826-3,2275848-0,1481705-7;5M12  36T12 (22/07/2019 - 07/12/2019);20190084920;-;CANCELADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190084920;-;CANCELADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190084920;-;CANCELADO
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190084886;-;TRANCADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190084886;-;TRANCADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190084886;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2104;QUÍMICA GERAL;03A;2275848-0,3143826-3,1523912-0,1481705-7;5M12  36T12 (22/07/2019 - 07/12/2019);20190084886;0.50;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190084886;0.80;REPROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190084886;0.50;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190142925;0.80;CANCELADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190142925;-;CANCELADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190142925;-;CANCELADO
2;ECT2104;QUÍMICA GERAL;03A;2275848-0,1481705-7,3143826-3,1523912-0;5M12  36T12 (22/07/2019 - 07/12/2019);20190142925;-;CANCELADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190142925;-;CANCELADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190142925;-;CANCELADO
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190084741;-;CANCELADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190084741;-;CANCELADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190084741;-;CANCELADO
2;ECT2104;QUÍMICA GERAL;03A;2275848-0,1523912-0,3143826-3,1481705-7;5M12  36T12 (22/07/2019 - 07/12/2019);20190084741;-;CANCELADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190084741;-;CANCELADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190084741;-;CANCELADO
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190084509;4.30;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190084509;2.80;REPROVADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190084509;2.70;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2104;QUÍMICA GERAL;03A;2275848-0,1523912-0,3143826-3,1481705-7;5M12  36T12 (22/07/2019 - 07/12/2019);20190084509;4.10;REPROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190084509;6.20;APROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190084509;6.30;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190084483;0.00;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190084483;0.00;REPROVADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190084483;0.70;REPROVADO
2;ECT2104;QUÍMICA GERAL;03A;1481705-7,3143826-3,1523912-0,2275848-0;5M12  36T12 (22/07/2019 - 07/12/2019);20190084483;1.30;REPROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190084483;6.60;APROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190084483;6.60;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190084349;5.80;APROVADO POR NOTA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190084349;2.00;REPROVADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190084349;5.30;APROVADO POR NOTA
2;ECT2104;QUÍMICA GERAL;03A;1523912-0,3143826-3,1481705-7,2275848-0;5M12  36T12 (22/07/2019 - 07/12/2019);20190084349;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190084349;7.00;APROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190084349;5.70;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190084062;8.70;APROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190084062;6.80;APROVADO POR NOTA
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190084062;6.00;APROVADO POR NOTA
2;ECT2104;QUÍMICA GERAL;03A;2275848-0,1523912-0,1481705-7,3143826-3;5M12  36T12 (22/07/2019 - 07/12/2019);20190084062;5.70;APROVADO POR NOTA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190084062;8.10;APROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190084062;4.10;REPROVADO
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190083940;0.20;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190083940;0.70;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190083940;-;TRANCADO
2;ECT2104;QUÍMICA GERAL;03A;2275848-0,1523912-0,1481705-7,3143826-3;5M12  36T12 (22/07/2019 - 07/12/2019);20190083940;0.30;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190083940;1.10;REPROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190083940;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190083922;0.50;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190083922;1.50;REPROVADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190083922;0.70;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2104;QUÍMICA GERAL;03A;2275848-0,3143826-3,1523912-0,1481705-7;5M12  36T12 (22/07/2019 - 07/12/2019);20190083922;0.80;REPROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190083922;6.20;APROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190083922;3.80;REPROVADO
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190111704;-;DESISTENCIA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190111704;-;EXCLUIDA
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190111704;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;03A;2275848-0,3143826-3,1481705-7,1523912-0;5M12  36T12 (22/07/2019 - 07/12/2019);20190111704;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190111704;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190111704;-;EXCLUIDA
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190083842;2.80;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190083842;5.30;APROVADO POR NOTA
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190083842;5.80;APROVADO POR NOTA
2;ECT2104;QUÍMICA GERAL;03A;2275848-0,1523912-0,3143826-3,1481705-7;5M12  36T12 (22/07/2019 - 07/12/2019);20190083842;5.50;APROVADO POR NOTA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190083842;6.70;APROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190083842;7.80;APROVADO
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190111562;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190111562;2.00;REPROVADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190111562;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;03A;1481705-7,3143826-3,2275848-0,1523912-0;5M12  36T12 (22/07/2019 - 07/12/2019);20190111562;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190111562;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190111562;-;EXCLUIDA
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190083708;5.40;APROVADO POR NOTA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190083708;1.70;REPROVADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190083708;0.00;REPROVADO
2;ECT2104;QUÍMICA GERAL;03A;3143826-3,2275848-0,1481705-7,1523912-0;5M12  36T12 (22/07/2019 - 07/12/2019);20190083708;4.50;REPROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20190083708;7.50;APROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20190083708;6.40;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20190083664;1.70;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20190083664;0.00;REPROVADO
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20190083664;0.00;REPROVADO POR MÉDIA E POR FALTAS
