,idTurma,ano,descricaoTurma,matricula,idAluno
567,5adffd8c59a2a54c937079ef,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03C,20170114665,5ab264c56a77db040b6612da
568,5adffd8c59a2a54c937079ef,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03C,20170031114,5aa91191f9299004205227ec
569,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20150126631,5ab0a22ef9299004205229d1
570,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170118047,5ab26763f929900420522a50
571,5ba99055463cb731d4510cba,2018.2,LÓGICA DE PROGRAMAÇÃO - Turma 02A,20170118047,5ab26763f929900420522a50
572,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170036175,5aa92c0fbaa69604102c7481
573,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,2015010295,5ae08af8241ada0408e6cb80
574,5b7b03c9b50b336749898175,2018.2,LÓGICA DE PROGRAMAÇÃO - Turma 03D,2015010295,5ae08af8241ada0408e6cb80
575,5ca4ca68b50b333d9c9163fd,2019.1,LÓGICA DE PROGRAMAÇÃO - Turma 01C,2015010295,5ae08af8241ada0408e6cb80
576,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170147290,5ab26779a7761c041bc62a0b
577,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170045290,5aa93051a7761c041bc6280d
578,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,2016048205,5ae08ae8241ada0408e6cb7f
579,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20160142684,5a9ff65ca69253042423732e
580,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170118280,5aa930d16a77db040b661060
581,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170137973,5aafabb8f929900420522882
582,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170115081,5a9ff63c6e994c04109f0401
583,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170033656,5ab267afa7761c041bc62a0c
584,5ca4b931b50b333d9c9163df,2019.1,LÓGICA DE PROGRAMAÇÃO - Turma 02D,20170033656,5ab267afa7761c041bc62a0c
585,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170037056,5aa92c5c6a77db040b661057
586,5ba99055463cb731d4510cba,2018.2,LÓGICA DE PROGRAMAÇÃO - Turma 02A,20170037056,5aa92c5c6a77db040b661057
587,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170138550,5ab267f76a77db040b6612dc
588,5b7b01fdb50b33674989816f,2018.2,LÓGICA DE PROGRAMAÇÃO - Turma 03C,20170138550,5ab267f76a77db040b6612dc
589,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170039112,5a9ff670a69253042423732f
590,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170034537,5aa92cf8a7761c041bc6280a
591,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170138200,5ab267c3a7761c041bc62a0d
592,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170032532,5a9ff6a26e994c04109f0405
593,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20170031357,5ab05d07f9299004205229c2
594,5ae078b65c7ccb1a0c9f6042,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03A,20160142521,
595,5ae079cd5c7ccb1a0c9f6043,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03B,20170138291,5ab2681df929900420522a53
596,5b7b00efb50b33674989816a,2018.2,LÓGICA DE PROGRAMAÇÃO - Turma 03B,20170138291,5ab2681df929900420522a53
597,5ae079cd5c7ccb1a0c9f6043,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03B,20170149731,5ab015e06a77db040b66123e
598,5ae079cd5c7ccb1a0c9f6043,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03B,20160146208,5ab26f1e6a77db040b6612f4
599,5ae079cd5c7ccb1a0c9f6043,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03B,20170116300,5afc32769513a60408ac05bd
600,5ae079cd5c7ccb1a0c9f6043,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03B,20170116801,5a9ff6516e994c04109f0402
601,5ae079cd5c7ccb1a0c9f6043,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03B,20170032891,5ab267fa6a77db040b6612dd
602,5ae079cd5c7ccb1a0c9f6043,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03B,2016016391,5a9ff63da69253042423732d
603,5ae079cd5c7ccb1a0c9f6043,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03B,20150121152,5cbf5b64d9e1df0563c97a69
604,5bb02bf8651f042bb5d58257,2018.2,LÓGICA DE PROGRAMAÇÃO - Turma 01C,20150121152,5cbf5b64d9e1df0563c97a69
605,5ae079cd5c7ccb1a0c9f6043,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03B,20170032390,5aa92c58f9299004205227f5
606,5ae079cd5c7ccb1a0c9f6043,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03B,2014089272,
607,5ae079cd5c7ccb1a0c9f6043,2018.1,LÓGICA DE PROGRAMAÇÃO - Turma 03B,20170114880,5abad4475524bd066927330c
